analysis,dataset,threshold_policy,families,tier,regime,method,tau,delta,weighting,n_families,n,n_present,n_absent,selected,correct,wrong,deferred,failures,present_selected,absent_selected,top1_correct,weighted_n,weighted_n_present,weighted_n_absent,weighted_selected,weighted_correct,weighted_wrong,weighted_deferred,weighted_failures,weighted_present_selected,weighted_absent_selected,weighted_top1_correct,coverage,present_coverage,accepted_risk,correct_yield,absent_false_accept,failure_rate,top1_present,correct_yield_ci95,accepted_risk_ci95,absent_false_accept_ci95,present_coverage_ci95,top1_present_ci95
corrective reanalysis after test inspection,appearance_calibration,original_thresholds,all,all,all,B0,,,family,7,112,56,56,112,15,97,0,0,56,56,15,7.0,3.5,3.5,7.0,0.9708333333333333,6.029166666666667,0.0,0.0,3.5,3.5,0.9708333333333333,1.0,1.0,0.8613095238095239,0.2773809523809524,1.0,0.0,0.2773809523809524,"[0.08333333333333333, 0.5428571428571428]","[0.7285714285714285, 0.9583333333333333]","[1.0, 1.0]","[1.0, 1.0]","[0.08333333333333333, 0.5428571428571428]"
corrective reanalysis after test inspection,appearance_calibration,original_thresholds,all,easy,all,B0,,,family,7,56,28,28,56,9,47,0,0,28,28,9,7.0,3.5,3.5,7.0,1.1583333333333332,5.841666666666667,0.0,0.0,3.5,3.5,1.1583333333333332,1.0,1.0,0.8345238095238096,0.33095238095238094,1.0,0.0,0.33095238095238094,"[0.11904761904761904, 0.5928571428571429]","[0.7035714285714285, 0.9404761904761905]","[1.0, 1.0]","[1.0, 1.0]","[0.11904761904761904, 0.5928571428571429]"
corrective reanalysis after test inspection,appearance_calibration,original_thresholds,all,hard,all,B0,,,family,7,56,28,28,56,6,50,0,0,28,28,6,7.0,3.5,3.5,7.0,0.7833333333333333,6.216666666666667,0.0,0.0,3.5,3.5,0.7833333333333333,1.0,1.0,0.8880952380952382,0.22380952380952382,1.0,0.0,0.22380952380952382,"[0.023809523809523808, 0.5095238095238096]","[0.7452380952380953, 0.9880952380952381]","[1.0, 1.0]","[1.0, 1.0]","[0.023809523809523808, 0.5095238095238096]"
corrective reanalysis after test inspection,appearance_calibration,original_thresholds,all,easy,absent_easy,B0,,,family,7,28,0,28,28,0,28,0,0,0,28,0,7.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,,1.0,,1.0,0.0,,"[None, None]","[1.0, 1.0]","[1.0, 1.0]","[None, None]","[None, None]"
corrective reanalysis after test inspection,appearance_calibration,original_thresholds,all,hard,absent_hard,B0,,,family,7,28,0,28,28,0,28,0,0,0,28,0,7.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,1.0,,1.0,,1.0,0.0,,"[None, None]","[1.0, 1.0]","[1.0, 1.0]","[None, None]","[None, None]"
corrective reanalysis after test inspection,appearance_calibration,original_thresholds,all,easy,present_easy,B0,,,family,7,28,28,0,28,9,19,0,0,28,0,9,7.0,7.0,0.0,7.0,2.3166666666666664,4.683333333333334,0.0,0.0,7.0,0.0,2.3166666666666664,1.0,1.0,0.6690476190476191,0.33095238095238094,,0.0,0.33095238095238094,"[0.11904761904761904, 0.5928571428571429]","[0.40714285714285714, 0.8809523809523808]","[None, None]","[1.0, 1.0]","[0.11904761904761904, 0.5928571428571429]"
corrective reanalysis after test inspection,appearance_calibration,original_thresholds,all,hard,present_hard,B0,,,family,7,28,28,0,28,6,22,0,0,28,0,6,7.0,7.0,0.0,7.0,1.5666666666666667,5.433333333333334,0.0,0.0,7.0,0.0,1.5666666666666667,1.0,1.0,0.7761904761904762,0.22380952380952382,,0.0,0.22380952380952382,"[0.023809523809523808, 0.5095238095238096]","[0.4904761904761905, 0.9761904761904762]","[None, None]","[1.0, 1.0]","[0.023809523809523808, 0.5095238095238096]"
corrective reanalysis after test inspection,appearance_calibration,original_thresholds,exposed,all,all,B0,,,family,3,48,24,24,48,11,37,0,0,24,24,11,3.0,1.5,1.5,3.0,0.7625,2.2375,0.0,0.0,1.5,1.5,0.7625,1.0,1.0,0.7458333333333332,0.5083333333333333,1.0,0.0,0.5083333333333333,,,,,
corrective reanalysis after test inspection,appearance_calibration,original_thresholds,exposed,easy,all,B0,,,family,3,24,12,12,24,6,18,0,0,12,12,6,3.0,1.5,1.5,3.0,0.825,2.175,0.0,0.0,1.5,1.5,0.825,1.0,1.0,0.725,0.5499999999999999,1.0,0.0,0.5499999999999999,,,,,
corrective reanalysis after test inspection,appearance_calibration,original_thresholds,exposed,hard,all,B0,,,family,3,24,12,12,24,5,19,0,0,12,12,5,3.0,1.5,1.5,3.0,0.7,2.3,0.0,0.0,1.5,1.5,0.7,1.0,1.0,0.7666666666666666,0.4666666666666666,1.0,0.0,0.4666666666666666,,,,,
